age,screen_time_hrs_day,sleep_duration_hrs,physical_activity_hrs_week,stress_level,anxious_before_exams,academic_performance_change,gender_Female,gender_Male,gender_Other,edu_High School,edu_Postgraduate,edu_Undergraduate,sleep_quality_index,lifestyle_balance_score,agegrp_15-18,agegrp_19-22,agegrp_>22,anxEdu_Anxious_HS,anxEdu_Anxious_PG,anxEdu_Anxious_UG,anxEdu_Calm_HS,anxEdu_Calm_PG,anxEdu_Calm_UG,screen_x_sleep
23,10.3,8.8,3.7,2,1,1,False,True,False,False,True,False,0.8543688490904031,0.3592232660948286,False,False,True,False,True,False,False,False,False,90.64000000000001
16,5.8,4.4,6.7,2,0,1,True,False,False,True,False,False,0.7586205588585244,1.1551722146254804,True,False,False,False,False,False,True,False,False,25.52
23,11.2,4.3,1.4,0,0,2,True,False,False,False,True,False,0.3839285371492378,0.12499998883928672,False,False,True,False,False,False,False,True,False,48.16
22,8.9,7.8,5.3,2,0,0,False,True,False,False,True,False,0.8764043959096185,0.595505551066792,False,True,False,False,False,False,False,True,False,69.42
21,11.1,8.5,2.1,1,0,0,False,True,False,False,True,False,0.7657656967778652,0.18918917214511966,False,True,False,False,False,False,False,True,False,94.35
25,11.5,5.6,0.4,1,1,0,False,True,False,False,True,False,0.48695647939508874,0.03478260567107777,False,False,True,False,True,False,False,False,False,64.39999999999999
18,7.0,4.8,9.9,0,1,0,True,False,False,True,False,False,0.685714187755116,1.414285512244927,True,False,False,True,False,False,False,False,False,33.6
16,9.7,7.2,1.5,2,0,1,True,False,False,True,False,False,0.742267964714643,0.1546391593155506,True,False,False,False,False,False,True,False,False,69.84
18,2.5,7.9,2.8,2,1,1,False,True,False,True,False,False,3.1599987360005057,1.119999552000179,True,False,False,True,False,False,False,False,False,19.75
20,6.9,5.4,6.8,1,0,0,True,False,False,False,False,True,0.7826085822306402,0.9855071035496951,False,True,False,False,False,False,False,False,True,37.260000000000005
20,6.0,7.3,3.9,0,1,1,False,True,False,False,False,True,1.2166664638889226,0.6499998916666847,False,True,False,False,False,True,False,False,False,43.8
19,7.6,7.7,2.7,0,0,1,False,True,False,False,False,True,1.0131577614266103,0.3552631111495907,False,True,False,False,False,False,False,False,True,58.519999999999996
15,11.0,8.5,1.9,1,0,2,True,False,False,True,False,False,0.7727272024793452,0.17272725702479483,True,False,False,False,False,False,True,False,False,93.5
17,3.0,4.3,8.6,2,0,2,False,True,False,True,False,False,1.4333328555557148,2.8666657111114295,True,False,False,False,False,False,True,False,False,12.899999999999999
26,4.7,6.8,9.6,1,1,0,True,False,False,False,True,False,1.4468082028067653,2.0425527569036683,False,False,True,False,True,False,False,False,False,31.96
24,9.9,7.9,0.7,1,0,0,True,False,False,False,True,False,0.7979797173757862,0.07070706356494308,False,False,True,False,False,False,False,True,False,78.21000000000001
24,3.2,8.2,0.9,0,1,2,False,True,False,False,True,False,2.562499199219,0.2812499121094024,False,False,True,False,True,False,False,False,False,26.24
18,7.9,4.7,1.6,0,1,0,False,True,False,True,False,False,0.5949366335523248,0.20253161993270632,True,False,False,True,False,False,False,False,False,37.13
17,7.9,4.9,3.2,1,0,1,True,False,False,True,False,False,0.6202530860439132,0.40506323986541265,True,False,False,False,False,False,True,False,False,38.71000000000001
18,5.4,4.6,8.4,1,0,0,False,True,False,True,False,False,0.8518516941015379,1.5555552674897652,True,False,False,False,False,False,True,False,False,24.84
16,2.4,8.5,8.7,0,0,1,False,True,False,True,False,False,3.541665190972837,3.6249984895839624,True,False,False,False,False,False,True,False,False,20.4
19,9.5,4.5,1.1,2,1,1,True,False,False,False,False,True,0.4736841606648252,0.11578946149584618,False,True,False,False,False,True,False,False,False,42.75
20,11.4,8.8,7.4,1,1,0,True,False,False,False,False,True,0.771929756848267,0.6491227500769517,False,True,False,False,False,True,False,False,False,100.32000000000001
18,10.6,8.6,8.8,1,1,0,True,False,False,True,False,False,0.8113206781772946,0.8301886009256039,True,False,False,True,False,False,False,False,False,91.16
20,10.6,6.4,8.2,2,0,1,True,False,False,False,False,True,0.6037735279458937,0.7735848326806761,False,True,False,False,False,False,False,False,True,67.84
18,11.7,8.6,6.8,1,0,1,False,True,False,True,False,False,0.7350426722185751,0.5811965315216641,True,False,False,False,False,False,True,False,False,100.61999999999999
22,6.7,6.5,6.8,0,0,1,False,True,False,False,False,True,0.9701491089329688,1.0149252216529518,False,True,False,False,False,False,False,False,True,43.550000000000004
25,8.3,7.6,6.8,0,1,1,False,True,False,False,True,False,0.9156625402816216,0.8192770097256614,False,False,True,False,True,False,False,False,False,63.080000000000005
21,6.6,8.3,7.6,1,0,2,False,True,False,False,True,False,1.2575755670340052,1.1515149770431852,False,True,False,False,False,False,False,True,False,54.78
23,5.6,8.1,5.5,1,1,1,True,False,False,False,True,False,1.4464283131378013,0.9821426817602354,False,False,True,False,True,False,False,False,False,45.35999999999999
20,2.5,4.7,1.1,0,1,2,True,False,False,False,False,True,1.8799992480003007,0.4399998240000704,False,True,False,False,False,True,False,False,False,11.75
16,7.8,6.9,2.0,0,1,1,True,False,False,True,False,False,0.8846152712031704,0.2564102235371508,True,False,False,True,False,False,False,False,False,53.82
23,11.9,5.1,3.0,2,1,2,True,False,False,False,True,False,0.4285713925570258,0.2521008191511917,False,False,True,False,True,False,False,False,False,60.69
15,2.4,6.6,5.4,1,0,1,True,False,False,True,False,False,2.749998854167144,2.249999062500391,True,False,False,False,False,False,True,False,False,15.839999999999998
16,9.4,6.2,5.1,1,1,0,False,False,True,True,False,False,0.6595743979176173,0.5425531337709432,True,False,False,True,False,False,False,False,False,58.28
21,7.9,6.8,9.6,1,0,1,True,False,False,False,False,True,0.8607593847140018,1.215189719596238,False,True,False,False,False,False,False,False,True,53.72
21,9.3,7.3,3.0,1,1,1,False,True,False,False,False,True,0.7849461521563277,0.3225806104752032,False,True,False,False,False,True,False,False,False,67.89
21,8.0,8.5,9.1,2,0,0,False,True,False,False,False,True,1.0624998671875168,1.137499857812518,False,True,False,False,False,False,False,False,True,68.0
24,5.1,5.4,5.7,0,1,1,False,True,False,False,True,False,1.0588233217993488,1.1176468396770904,False,False,True,False,True,False,False,False,False,27.54
20,7.2,7.8,6.8,0,1,0,False,True,False,False,False,True,1.0833331828703912,0.944444313271623,False,True,False,False,False,True,False,False,False,56.16
19,10.7,7.2,8.1,1,0,1,True,False,False,True,False,False,0.6728971333740998,0.7570092750458622,False,True,False,False,False,False,True,False,False,77.03999999999999
20,4.9,5.1,2.0,0,1,1,True,False,False,False,False,True,1.0408161141191603,0.40816318200751384,False,True,False,False,False,True,False,False,False,24.99
23,3.6,6.4,1.0,1,0,1,True,False,False,False,True,False,1.7777772839507544,0.2777777006173054,False,False,True,False,False,False,False,True,False,23.040000000000003
19,3.1,8.5,2.6,1,0,1,False,True,False,False,False,True,2.7419345993759356,0.8387094068679333,False,True,False,False,False,False,False,False,True,26.35
19,8.7,9.0,0.4,1,1,2,False,True,False,False,False,True,1.0344826397146394,0.045977006209539525,False,True,False,False,False,True,False,False,False,78.3
16,11.1,7.0,9.2,0,0,0,True,False,False,True,False,False,0.6306305738170654,0.8288287541595717,True,False,False,False,False,False,True,False,False,77.7
16,6.1,5.6,1.6,0,1,2,True,False,False,True,False,False,0.9180326363880924,0.2622950389680264,True,False,False,True,False,False,False,False,False,34.16
22,3.4,5.0,8.5,0,1,1,False,True,False,False,False,True,1.4705878027682933,2.4999992647060987,False,True,False,False,False,True,False,False,False,17.0
16,2.2,4.5,5.2,2,0,1,False,True,False,True,False,False,2.0454536157029017,2.3636352892566865,True,False,False,False,False,False,True,False,False,9.9
15,4.7,6.1,6.8,1,1,1,True,False,False,True,False,False,1.2978720642825394,1.4468082028067653,True,False,False,True,False,False,False,False,False,28.669999999999998
25,11.0,5.6,4.4,1,0,2,False,True,False,False,True,False,0.5090908628099216,0.39999996363636703,False,False,True,False,False,False,False,True,False,61.599999999999994
15,10.3,8.5,0.3,2,1,1,True,False,False,True,False,False,0.8252426383259575,0.029126210764445555,True,False,False,True,False,False,False,False,False,87.55000000000001
18,9.9,8.0,7.8,2,1,2,False,False,True,True,False,False,0.8080807264564923,0.78787870829508,True,False,False,True,False,False,False,False,False,79.2
22,7.3,8.8,4.0,1,1,1,False,True,False,False,True,False,1.2054792869206457,0.5479451304184753,False,True,False,False,True,False,False,False,False,64.24000000000001
20,3.3,8.1,9.4,1,1,1,True,False,False,False,False,True,2.454544710744027,2.848483985307883,False,True,False,False,False,True,False,False,False,26.729999999999997
20,7.2,6.0,5.1,2,1,0,False,True,False,False,False,True,0.8333332175926086,0.7083332349537173,False,True,False,False,False,True,False,False,False,43.2
15,3.1,5.6,6.0,0,0,1,True,False,False,True,False,False,1.8064510301770869,1.9354832466183074,True,False,False,False,False,False,True,False,False,17.36
21,5.8,7.3,9.9,1,1,0,True,False,False,False,False,True,1.2586204726516426,1.7068962574316797,False,True,False,False,False,True,False,False,False,42.339999999999996
18,7.7,7.2,3.0,2,0,2,True,False,False,True,False,False,0.9350648136279462,0.38961033901164427,True,False,False,False,False,False,True,False,False,55.440000000000005
23,10.0,6.7,2.2,2,0,2,True,False,False,False,True,False,0.6699999330000068,0.21999997800000223,False,False,True,False,False,False,False,True,False,67.0
17,7.0,4.1,2.3,1,1,2,False,True,False,True,False,False,0.5857142020408282,0.32857138163265975,True,False,False,True,False,False,False,False,False,28.699999999999996
25,3.2,7.8,8.8,2,1,0,True,False,False,False,True,False,2.4374992382814877,2.7499991406252686,False,False,True,False,True,False,False,False,False,24.96
26,4.1,5.2,9.8,1,0,1,False,True,False,False,True,False,1.268292373587226,2.3902433194528494,False,False,True,False,False,False,False,True,False,21.32
15,3.5,5.5,1.7,1,0,0,True,False,False,True,False,False,1.5714281224491078,0.48571414693881515,True,False,False,False,False,False,True,False,False,19.25
25,2.6,8.7,9.1,1,0,0,False,True,False,False,True,False,3.346152559172092,3.499998653846671,False,False,True,False,False,False,False,True,False,22.619999999999997
18,9.8,4.7,2.6,1,1,1,True,False,False,True,False,False,0.4795917877967564,0.26530609537692906,True,False,False,True,False,False,False,False,False,46.06
22,9.1,6.6,1.7,2,1,1,True,False,False,False,True,False,0.7252746455742148,0.18681316628426745,False,True,False,False,True,False,False,False,False,60.059999999999995
21,9.8,4.9,9.4,1,1,0,False,True,False,False,True,False,0.4999999489795971,0.9591835755935127,False,True,False,False,True,False,False,False,False,48.02000000000001
15,7.6,8.3,0.0,2,0,1,False,True,False,True,False,False,1.0921051194598528,0.0,True,False,False,False,False,False,True,False,False,63.080000000000005
15,7.5,6.4,4.7,2,0,2,False,True,False,True,False,False,0.8533332195555707,0.6266665831111222,True,False,False,False,False,False,True,False,False,48.0
24,3.9,5.0,5.8,1,0,0,False,True,False,False,True,False,1.2820509533202684,1.4871791058515114,False,False,True,False,False,False,False,True,False,19.5
17,10.6,4.6,5.9,2,1,1,True,False,False,True,False,False,0.43396222321111105,0.5566037210751208,True,False,False,True,False,False,False,False,False,48.76
16,7.5,7.5,4.8,1,1,2,False,True,False,True,False,False,0.9999998666666844,0.639999914666678,True,False,False,True,False,False,False,False,False,56.25
24,10.5,4.1,5.2,1,0,1,True,False,False,False,True,False,0.3904761532879854,0.4952380480725669,False,False,True,False,False,False,False,True,False,43.05
21,5.6,7.2,7.6,2,1,2,True,False,False,False,False,True,1.28571405612249,1.3571426147959615,False,True,False,False,False,True,False,False,False,40.32
19,10.7,6.8,2.8,0,1,2,True,False,False,False,False,True,0.6355139592977609,0.2616822185343721,False,True,False,False,False,True,False,False,False,72.75999999999999
24,5.8,6.8,2.9,0,1,1,False,True,False,False,True,False,1.1724135909631739,0.4999999137931183,False,False,True,False,True,False,False,False,False,39.44
19,4.6,6.4,3.6,0,0,0,True,False,False,False,False,True,1.391304045368686,0.7826085255198858,False,True,False,False,False,False,False,False,True,29.439999999999998
26,11.5,5.0,0.6,1,1,2,False,True,False,False,True,False,0.4347825708884721,0.052173908506616656,False,False,True,False,True,False,False,False,False,57.5
23,11.5,5.4,0.9,0,1,2,True,False,False,False,True,False,0.46956517655954993,0.07826086275992498,False,False,True,False,True,False,False,False,False,62.1
26,6.1,5.3,9.3,1,1,1,True,False,False,False,True,False,0.8688523165815875,1.5245899140016537,False,False,True,False,True,False,False,False,False,32.33
25,7.7,4.1,6.3,1,1,2,False,True,False,False,True,False,0.5324674633159138,0.818181711924453,False,False,True,False,True,False,False,False,False,31.569999999999997
20,10.0,8.2,9.9,0,0,1,True,False,False,False,False,True,0.8199999180000082,0.98999990100001,False,True,False,False,False,False,False,False,True,82.0
23,3.4,4.3,0.1,0,0,2,True,False,False,False,True,False,1.264705510380732,0.02941175605536587,False,False,True,False,False,False,False,True,False,14.62
17,11.5,5.8,3.3,0,1,2,True,False,False,True,False,False,0.5043477822306276,0.28695649678639157,True,False,False,True,False,False,False,False,False,66.7
22,5.1,6.7,1.1,0,1,2,False,True,False,False,True,False,1.3137252326028956,0.21568623221838587,False,True,False,False,True,False,False,False,False,34.17
20,5.4,5.5,6.8,1,1,0,True,False,False,False,False,True,1.0185183299040128,1.259259026063143,False,True,False,False,False,True,False,False,False,29.700000000000003
17,6.4,4.0,8.5,0,0,0,True,False,False,True,False,False,0.6249999023437652,1.328124792480501,True,False,False,False,False,False,True,False,False,25.6
17,3.2,6.2,0.2,1,0,2,False,True,False,True,False,False,1.9374993945314392,0.0624999804687561,True,False,False,False,False,False,True,False,False,19.840000000000003
19,5.2,4.6,5.8,1,1,0,True,False,False,False,False,True,0.884615214497074,1.115384400887615,False,True,False,False,False,True,False,False,False,23.919999999999998
15,2.6,5.0,4.9,1,0,0,False,True,False,True,False,False,1.923076183432237,1.8846146597635924,True,False,False,False,False,False,True,False,False,13.0
16,2.3,7.5,5.9,1,0,2,False,True,False,True,False,False,3.2608681474486314,2.5652162759929236,True,False,False,False,False,False,True,False,False,17.25
23,3.7,8.5,5.1,0,0,1,False,True,False,False,True,False,2.2972966764063036,1.378378005843782,False,False,True,False,False,False,False,True,False,31.450000000000003
18,5.1,6.4,3.5,2,1,1,False,False,True,True,False,False,1.254901714725154,0.6862743752403186,True,False,False,True,False,False,False,False,False,32.64
22,5.2,7.2,7.4,0,1,1,False,True,False,False,False,True,1.3846151183432465,1.4230766494083367,False,True,False,False,False,True,False,False,False,37.440000000000005
26,2.2,6.4,0.1,1,1,2,True,False,False,False,True,False,2.90908958677746,0.045454524793397816,False,False,True,False,True,False,False,False,False,14.080000000000002
21,7.6,7.8,8.2,1,0,1,True,False,False,False,True,False,1.0263156544321508,1.0789472264543123,False,True,False,False,False,False,False,True,False,59.279999999999994
16,7.8,4.9,2.6,0,0,1,False,True,False,True,False,False,0.6282050476660196,0.3333332905982961,True,False,False,False,False,False,True,False,False,38.22
24,10.7,4.6,0.8,0,0,0,False,True,False,False,True,False,0.42990650187789703,0.07476634815267776,False,False,True,False,False,False,False,True,False,49.21999999999999
23,7.7,7.7,5.5,0,0,0,True,False,False,False,True,False,0.999999870129887,0.7142856215213478,False,False,True,False,False,False,False,True,False,59.290000000000006
21,8.1,6.6,1.9,0,1,2,True,False,False,False,True,False,0.8148147142204057,0.23456787227557135,False,True,False,False,True,False,False,False,False,53.459999999999994
17,6.0,4.2,5.9,1,0,0,True,False,False,True,False,False,0.6999998833333528,0.9833331694444718,True,False,False,False,False,False,True,False,False,25.200000000000003
15,7.7,4.7,8.0,0,0,2,False,True,False,True,False,False,0.6103895311182427,1.0389609040310515,True,False,False,False,False,False,True,False,False,36.190000000000005
20,9.8,7.7,6.3,0,1,2,True,False,False,False,False,True,0.7857142055393668,0.6428570772594819,False,True,False,False,False,True,False,False,False,75.46000000000001
20,4.9,5.5,4.7,2,0,1,False,True,False,False,False,True,1.122448750520663,0.9591834777176576,False,True,False,False,False,False,False,False,True,26.950000000000003
23,4.3,5.0,8.9,1,0,2,False,True,False,False,True,False,1.1627904272580403,2.0697669605193116,False,False,True,False,False,False,False,True,False,21.5
16,9.3,5.4,5.8,1,1,1,True,False,False,True,False,False,0.5806450988553657,0.6236558469187261,True,False,False,True,False,False,False,False,False,50.220000000000006
16,4.6,7.7,1.0,1,1,0,False,True,False,True,False,False,1.6739126795842003,0.21739125708885718,True,False,False,True,False,False,False,False,False,35.419999999999995
18,11.8,6.8,6.7,0,0,2,True,False,False,True,False,False,0.5762711376041408,0.5677965620511388,True,False,False,False,False,False,True,False,False,80.24000000000001
20,9.2,6.1,0.3,1,1,0,False,True,False,False,False,True,0.6630434061909342,0.03260869210775086,False,True,False,False,False,True,False,False,False,56.11999999999999
17,5.9,5.7,7.5,1,1,1,False,True,False,True,False,False,0.9661015311692319,1.2711862252226735,True,False,False,True,False,False,False,False,False,33.63
21,4.2,4.8,5.4,0,1,0,True,False,False,False,True,False,1.142856870748364,1.2857139795919097,False,True,False,False,True,False,False,False,False,20.16
24,4.5,7.2,3.2,1,0,0,True,False,False,False,True,False,1.5999996444445235,0.7111109530864549,False,False,True,False,False,False,False,True,False,32.4
24,10.1,7.9,3.9,0,0,0,False,True,False,False,True,False,0.782178140378402,0.38613857562984405,False,False,True,False,False,False,False,True,False,79.79
26,6.3,4.6,3.3,1,1,1,True,False,False,False,True,False,0.7301586142605374,0.5238094406651681,False,False,True,False,True,False,False,False,False,28.979999999999997
18,5.1,8.4,2.8,0,1,1,True,False,False,True,False,False,1.6470585005767648,0.5490195001922549,True,False,False,True,False,False,False,False,False,42.839999999999996
17,9.6,5.3,0.9,1,0,0,False,True,False,True,False,False,0.5520832758246588,0.09374999023437602,True,False,False,False,False,False,True,False,False,50.879999999999995
18,8.7,8.5,4.1,0,0,0,False,True,False,True,False,False,0.9770113819527149,0.4712643136477801,True,False,False,False,False,False,True,False,False,73.94999999999999
23,9.6,7.5,6.4,1,1,1,False,True,False,False,True,False,0.7812499186198002,0.6666665972222295,False,False,True,False,True,False,False,False,False,72.0
23,4.2,4.4,4.9,1,0,0,False,True,False,False,True,False,1.0476187981860003,1.166666388888955,False,False,True,False,False,False,False,True,False,18.480000000000004
21,6.0,6.6,5.8,2,1,1,False,True,False,False,True,False,1.099999816666697,0.9666665055555823,False,True,False,False,True,False,False,False,False,39.599999999999994
22,3.6,7.8,6.2,0,1,2,False,True,False,False,True,False,2.166666064814982,1.7222217438272933,False,True,False,False,True,False,False,False,False,28.08
26,5.3,8.5,8.3,1,1,2,False,True,False,False,True,False,1.603773282306928,1.5660374403702944,False,False,True,False,True,False,False,False,False,45.05
19,4.7,4.6,8.4,1,1,2,False,True,False,False,False,True,0.9787231960163412,1.7872336622907101,False,True,False,False,False,True,False,False,False,21.619999999999997
17,10.8,7.3,6.5,0,0,0,True,False,False,True,False,False,0.6759258633401978,0.6018517961248337,True,False,False,False,False,False,True,False,False,78.84
23,2.8,6.5,6.2,1,1,2,False,True,False,False,True,False,2.3214277423472347,2.21428492346967,False,False,True,False,True,False,False,False,False,18.2
20,5.6,6.7,3.6,0,1,2,True,False,False,False,False,True,1.1964283577806505,0.642857028061245,False,True,False,False,False,True,False,False,False,37.519999999999996
25,11.9,9.0,0.8,1,1,0,False,True,False,False,True,False,0.756302457453575,0.06722688510698445,False,False,True,False,True,False,False,False,False,107.10000000000001
17,8.1,4.8,8.9,0,1,0,True,False,False,True,False,False,0.5925925194330224,1.0987652964487291,True,False,False,True,False,False,False,False,False,38.879999999999995
17,7.3,6.8,4.2,2,1,0,False,True,False,True,False,False,0.9315067217114079,0.5753423869393991,True,False,False,True,False,False,False,False,False,49.64
16,3.5,4.5,8.5,2,1,1,False,True,False,True,False,False,1.2857139183674517,2.428570734694076,True,False,False,True,False,False,False,False,False,15.75
26,11.6,8.7,4.4,0,1,0,True,False,False,False,True,False,0.7499999353448332,0.3793103121284214,False,False,True,False,True,False,False,False,False,100.91999999999999
18,4.5,7.1,2.3,1,0,0,False,True,False,True,False,False,1.5777774271605716,0.5111109975308894,True,False,False,False,False,False,True,False,False,31.95
23,5.2,7.1,3.1,0,1,1,True,False,False,False,True,False,1.3653843528107013,0.5961537315088977,False,False,True,False,True,False,False,False,False,36.92
15,7.4,7.1,3.1,1,0,2,False,True,False,True,False,False,0.9594593298027931,0.4189188623082618,True,False,False,False,False,False,True,False,False,52.54
23,7.3,8.9,3.8,0,1,2,True,False,False,False,True,False,1.2191779151811075,0.5205478738975515,False,False,True,False,True,False,False,False,False,64.97
16,3.4,5.3,8.4,0,1,2,True,False,False,True,False,False,1.5588230709343909,2.4705875086507327,True,False,False,True,False,False,False,False,False,18.02
16,2.9,5.3,0.2,1,0,0,False,True,False,True,False,False,1.8275855766946287,0.06896549346017466,True,False,False,False,False,False,True,False,False,15.37
18,8.8,8.0,1.4,1,1,1,False,True,False,True,False,False,0.9090908057851357,0.15909089101239873,True,False,False,True,False,False,False,False,False,70.4
24,11.9,7.1,7.4,1,0,2,False,True,False,False,True,False,0.596638605324487,0.6218486872396062,False,False,True,False,False,False,False,True,False,84.49
18,2.8,4.1,8.5,1,1,0,True,False,False,True,False,False,1.4642851913267172,3.0357132015309993,True,False,False,True,False,False,False,False,False,11.479999999999999
26,3.6,5.1,0.4,2,0,1,False,True,False,False,True,False,1.4166662731482573,0.11111108024692215,False,False,True,False,False,False,False,True,False,18.36
23,2.6,5.8,6.0,2,0,0,False,True,False,False,True,False,2.230768372781395,2.3076914201186844,False,False,True,False,False,False,False,True,False,15.08
22,9.6,5.8,5.7,2,0,1,True,False,False,False,True,False,0.6041666037326455,0.5937499381510482,False,True,False,False,False,False,False,True,False,55.68
16,11.5,6.1,6.2,0,0,2,True,False,False,True,False,False,0.5304347364839359,0.5391303879017054,True,False,False,False,False,False,True,False,False,70.14999999999999
15,11.2,7.7,3.2,2,1,0,True,False,False,True,False,False,0.687499938616077,0.28571426020408397,True,False,False,True,False,False,False,False,False,86.24
20,11.7,4.8,9.3,0,1,2,False,True,False,False,False,True,0.41025637519176283,0.7948717269340406,False,True,False,False,False,True,False,False,False,56.16
24,4.5,6.1,0.5,1,1,2,False,True,False,False,True,False,1.3555552543210545,0.11111108641975857,False,False,True,False,True,False,False,False,False,27.45
26,6.7,5.2,9.5,1,1,1,True,False,False,False,True,False,0.776119287146375,1.4179102361328004,False,False,True,False,True,False,False,False,False,34.84
25,8.4,4.2,1.7,2,0,2,False,True,False,False,True,False,0.4999999404761976,0.20238092828798473,False,False,True,False,False,False,False,True,False,35.28
24,7.1,5.1,0.7,0,0,1,True,False,False,False,True,False,0.7183097579845411,0.0985915354096429,False,False,True,False,False,False,False,True,False,36.209999999999994
18,5.3,7.1,3.0,0,1,2,True,False,False,True,False,False,1.3396223887504926,0.5660376290495039,True,False,False,True,False,False,False,False,False,37.629999999999995
18,8.6,6.3,6.1,0,1,0,True,False,False,True,False,False,0.7325580543537147,0.7093022431043904,True,False,False,True,False,False,False,False,False,54.18
15,4.5,6.8,3.2,1,0,1,True,False,False,True,False,False,1.5111107753087165,0.7111109530864549,True,False,False,False,False,False,True,False,False,30.599999999999998
24,8.4,5.6,2.3,1,0,2,True,False,False,False,True,False,0.6666665873015968,0.2738094912131558,False,False,True,False,False,False,False,True,False,47.04
26,7.4,6.6,5.8,1,0,0,True,False,False,False,True,False,0.8918917713659767,0.7837836778670705,False,False,True,False,False,False,False,True,False,48.839999999999996
15,3.0,9.0,1.2,1,1,2,True,False,False,True,False,False,2.9999990000003334,0.39999986666671106,True,False,False,True,False,False,False,False,False,27.0
21,3.7,4.8,0.3,0,0,0,False,True,False,False,True,False,1.2972969466765008,0.0810810591672813,False,True,False,False,False,False,False,True,False,17.76
17,3.8,5.1,2.9,0,0,1,False,False,True,True,False,False,1.342104909972392,0.76315769390587,True,False,False,False,False,False,True,False,False,19.38
26,4.8,7.1,9.2,2,0,0,False,True,False,False,True,False,1.4791663585070085,1.9166662673611943,False,False,True,False,False,False,False,True,False,34.08
15,3.1,6.5,4.1,0,1,2,False,True,False,True,False,False,2.096773517169833,1.32258021852251,True,False,False,True,False,False,False,False,False,20.150000000000002
21,6.3,8.6,0.3,0,0,0,True,False,False,False,False,True,1.3650791484001352,0.04761904006046983,False,True,False,False,False,False,False,False,True,54.18
19,2.7,7.6,5.8,0,0,0,False,True,False,True,False,False,2.814813772291195,2.1481473525380173,False,True,False,False,False,False,True,False,False,20.52
23,10.5,7.2,4.6,2,0,1,True,False,False,False,True,False,0.6857142204081695,0.43809519637188604,False,False,True,False,False,False,False,True,False,75.60000000000001
20,8.5,6.1,8.0,1,1,1,True,False,False,False,False,True,0.7176469743944737,0.9411763598616047,False,True,False,False,False,True,False,False,False,51.849999999999994
15,8.8,7.5,9.9,0,0,2,True,False,False,True,False,False,0.8522726304235647,1.1249998721591055,True,False,False,False,False,False,True,False,False,66.0
24,4.4,6.7,2.7,1,0,0,False,True,False,False,True,False,1.522726926652971,0.6136362241735854,False,False,True,False,False,False,False,True,False,29.480000000000004
21,4.9,7.5,0.3,0,1,1,True,False,False,False,True,False,1.5306119325281768,0.061224477301127074,False,True,False,False,True,False,False,False,False,36.75
19,12.0,7.8,2.0,2,1,2,True,False,False,False,False,True,0.6499999458333379,0.16666665277777895,False,True,False,False,False,True,False,False,False,93.6
24,8.4,4.2,1.4,1,1,1,True,False,False,False,True,False,0.4999999404761976,0.1666666468253992,False,False,True,False,True,False,False,False,False,35.28
23,8.1,5.1,5.8,0,1,0,True,False,False,False,True,False,0.6296295518975862,0.716049294314902,False,False,True,False,True,False,False,False,False,41.309999999999995
15,3.8,8.3,3.0,0,1,0,True,False,False,True,False,False,2.1842099515236972,0.7894734764543483,True,False,False,True,False,False,False,False,False,31.540000000000003
23,9.9,8.9,2.3,1,1,2,True,False,False,False,True,False,0.8989898081828477,0.23232320885624153,False,False,True,False,True,False,False,False,False,88.11000000000001
